,Date,Title,URLs,Views
,,,,
VM513:1 ,30/01/2024,"Players interviews after the GS showcase match, PLUS the Mayor of Camden❗️",https://www.youtube.com/watch?v=hs-hKur3LCQ,109 views
VM513:1 ,30/01/2024,GetScouted Showcase Match New Process,https://www.youtube.com/watch?v=kqjImirTCkQ,"12,392 views"
VM513:1 ,30/01/2024,U23 GetScouted Showcase Match Footage | London | October 29th 2021 - UK Football Trials,https://www.youtube.com/watch?v=8ZabZYk8tBg&t=2144s,"1,162 views"
VM513:1 ,30/01/2024,Conrad Dyble receive an 8-weeks trial after attending a GetScouted Showcase Match,https://www.youtube.com/watch?v=wmMuTshXjkk,306 views
VM513:1 ,30/01/2024,TALENT ID MATCH - GETSCOUTED ELITE V MUNDI GENUS | London | August 2nd 2021,https://www.youtube.com/watch?v=OPddmoSOwsk,526 views
VM513:1 ,30/01/2024,GetScouted Showcase Match Preview - August 2021,https://www.youtube.com/watch?v=OY6cocpwJs8,437 views
VM513:1 ,30/01/2024,GetScouted UK Showcase matches,https://www.youtube.com/watch?v=kiTTp7zVtOU,193 views
VM513:1 ,30/01/2024,Players Experience On Attending GetScouted Showcase match,https://www.youtube.com/watch?v=zPmYmNIBHr0,222 views
VM513:1 ,30/01/2024,Wycombe Chief Scout speaks on attending GetScouted showcase match,https://www.youtube.com/watch?v=b-vhF5PCEe0&t=1s,822 views
VM513:1 ,30/01/2024,(GetScouted Webinar) What does it take to get scouted?,https://www.youtube.com/watch?v=2muV6yWpF1A,227 views
VM513:1 ,30/01/2024,GetScouted - October Showcase match,https://www.youtube.com/watch?v=YfrCow7DMbM,"2,959 views"
VM513:1 ,30/01/2024,UK Showcase Match Hosted By GetScouted (Full Video),https://www.youtube.com/watch?v=4_C7xWHYw8U,"3,155 views"
VM513:1 ,30/01/2024,UK Showcase Match Hosted By GetScouted,https://www.youtube.com/watch?v=AZMxnwPxML8,249 views
VM513:1 ,30/01/2024,GetScouted Showcase Match,https://www.youtube.com/watch?v=uLfF4vIyycs,"1,547 views"
VM513:1 ,30/01/2024,Former Stoke City player talks about GetScouted platform on how it is vital for players!,https://www.youtube.com/watch?v=trt_bzx3vUw,579 views
VM513:1 ,30/01/2024,Olu Quadri Highlight 19/20,https://www.youtube.com/watch?v=yMbPzIzvT7Q,338 views
VM513:1 ,30/01/2024,Johnville Renee,https://www.youtube.com/watch?v=McMHazQ1_qY,154 views
VM513:1 ,30/01/2024,HOW TO GET SCOUTED,https://www.youtube.com/watch?v=heeaELaDb6w,159 views
,,,,
VM644:1 ,30/01/2024,A LATE FREE KICK GOLAZO! | LONDON LEGACY VS TITANS UNITED - SUNDAY LEAGUE 23/24: EP 18,https://www.youtube.com/watch?v=PNuf6akaVAE,207 views
VM644:1 ,30/01/2024,OUTPLAYED ON HOME TURF! | LEGACY VS AC MILANO RESERVES - SUNDAY LEAGUE EP 17: WEST ESSEX TROPHY QF,https://www.youtube.com/watch?v=yRLWlLB4-fo,215 views
VM644:1 ,30/01/2024,THE FIRST GAME OF 2024!! | LONDON LEGACY VS WOODFORD TOWN RESERVES - SUNDAY LEAGUE 23/24: EP 16,https://www.youtube.com/watch?v=BJMmjawGmSY,278 views
VM644:1 ,30/01/2024,THE LAST LEAGUE GAME OF 2023! | LONDON LEGACY VS FC MEXICO - SUNDAY LEAGUE 23/24: EP15,https://www.youtube.com/watch?v=gtJZ3Jsrbp8,343 views
VM644:1 ,30/01/2024,WE BEAT A DIV 3 TEAM! | LONDON LEGACY VS BARKING - SUNDAY LEAGUE 23/24: EP14: WESSEX TROPHY 1ST RND,https://www.youtube.com/watch?v=k2_xKzCE8MA,280 views
VM644:1 ,30/01/2024,CAN LEGACY DO A LEAGUE DOUBLE? | LONDON LEGACY VS EPPING ROYALS - SUNDAY LEAGUE 23/24: EP 13,https://www.youtube.com/watch?v=wdg9PuwRQx8,312 views
